idx,elapsed_ns,position_counts
1221,334261,-123
1222,325113,-123
1223,328631,-123
1224,334152,-123
1225,324640,-123
1226,329968,-123
1227,329420,-122
1228,327530,-122
1229,328975,-122
1230,325288,-122
1231,327102,-122
1232,308460,-123
1233,331926,-122
1234,330004,-122
1235,305106,-122
1236,352745,-123
1237,310196,-123
1238,302879,-122
1239,288905,-122
1240,307832,-123
1241,309970,-123
1242,308439,-123
1243,288527,-122
1244,314850,-122
1245,316267,-122
1246,346545,-123
1247,309963,-123
1248,329686,-123
1249,326063,-123
1250,331109,-123
1251,329111,-123
1252,333304,-123
1253,306490,-123
1254,311432,-123
1255,328679,-123
1256,330640,-124
1257,350373,-124
1258,369887,-124
1259,336036,-124
1260,302293,-124
1261,327103,-124
1262,328512,-124
1263,329713,-123
1264,327660,-123
1265,308367,-123
1266,310957,-123
1267,305806,-123
1268,307687,-123
1269,312750,-123
1270,329147,-123
1271,308604,-123
1272,308259,-123
1273,309849,-123
1274,308750,-123
1275,288103,-123
1276,312015,-123
1277,288447,-123
1278,314930,-123
1279,306098,-122
1280,314655,-122
1281,283603,-122
1282,310371,-123
1283,315827,-123
1284,336416,-123
1285,323891,-124
1286,324684,-124
1287,311286,-124
1288,319485,-123
1289,299834,-123
1290,303001,-123
1291,289382,-123
1292,309642,-123
1293,310136,-123
1294,309644,-123
1295,291656,-123
1296,313744,-123
1297,304869,-123
1298,325422,-123
1299,296533,-124
1300,314129,-125
1301,285326,-125
1302,312679,-123
1303,287359,-123
1304,331528,-123
1305,311862,-123
1306,287932,-123
1307,309119,-123
1308,292384,-123
1309,311916,-123
1310,326085,-123
1311,337716,-123
1312,307742,-123
1313,303491,-123
1314,314525,-123
1315,354185,-123
1316,303534,-123
1317,329168,-123
1318,332674,-123
1319,326890,-123
1320,330887,-123
1321,331614,-123
1322,327804,-123
1323,330108,-123
1324,345803,-123
1325,328763,-123
1326,350075,-123
1327,371168,-122
1328,328294,-123
1329,354043,-123
1330,351235,-123
1331,364419,-123
1332,328633,-123
1333,335217,-123
1334,343630,-123
1335,369871,-123
1336,366989,-123
1337,370617,-123
1338,384858,-123
1339,365483,-123
1340,393687,-123
1341,404563,-123
1342,393036,-122
1343,383451,-122
1344,435737,-122
1345,417372,-122
1346,389459,-122
1347,394069,-123
1348,399350,-123
1349,346568,-123
1350,370900,-123
1351,388368,-123
1352,386291,-123
1353,373380,-123
1354,383460,-123
1355,346952,-122
1356,364407,-122
1357,368450,-122
1358,371671,-122
1359,385908,-122
1360,376239,-122
1361,379978,-123
1362,385376,-123
1363,350151,-122
1364,390858,-123
1365,419788,-123
1366,409520,-123
1367,378380,-123
1368,406184,-123
1369,388806,-123
1370,385918,-123
1371,392343,-123
1372,382600,-123
1373,372567,-123
1374,384332,-123
1375,389024,-123
1376,371590,-123
1377,383593,-123
1378,362223,-123
1379,354116,-123
1380,386999,-123
1381,393699,-123
1382,364875,-123
1383,401291,-123
1384,355052,-123
1385,386834,-123
1386,368946,-123
1387,391514,-123
1388,402854,-123
1389,390501,-123
1390,367335,-123
1391,347462,-123
1392,387939,-123
1393,368957,-123
1394,392435,-123
1395,386280,-123
1396,400054,-124
1397,377482,-124
1398,388062,-124
1399,390138,-123
1400,388667,-124
1401,421025,-124
1402,372024,-123
1403,367622,-123
1404,395242,-123
1405,382329,-123
1406,366611,-123
1407,392447,-123
1408,364309,-123
1409,349661,-123
1410,385723,-123
1411,368512,-123
1412,369216,-123
1413,386864,-124
1414,358454,-124
1415,404158,-124
1416,382298,-123
1417,369959,-123
1418,386329,-123
1419,345994,-123
1420,369211,-123
1421,390186,-123
1422,390592,-123
1423,383012,-123
